AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_letters_sub,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/Users/ketian/Desktop/alexa10k/1000mg.jp,0,WordPress 3.5.2,5,False,False,False,1,True,False,,90.0,False,False,False,False,,,,,728.0,56,4,58,4,start,start,0.0031821797931583136,0.04455051710421639,0.0031821797931583136,0.046141607000795545,1257,True,False,False,com,0,5,False,False,False,True,True,False,2,3,3,9,184,144,6,3,,4,5,True,False,True
/Users/ketian/Desktop/alexa10k/1000mg.jp,1,WordPress 3.5.2,5,False,False,False,6,True,False,,200.0,False,False,False,False,,,,,200.0,121,69,123,69,start,start,0.05489260143198091,0.09626093874303898,0.05489260143198091,0.09785202863961814,1257,True,False,False,jp,0,7,False,True,False,True,True,False,3,15,3,4,115,71,8,6,,7,8,True,False,True
/Users/ketian/Desktop/alexa10k/1000mg.jp,2,WordPress 3.5.2,5,False,False,False,1,True,False,,190.0,False,False,False,False,,,,,540.0,413,361,415,361,start,start,0.2871917263325378,0.32856006364359586,0.2871917263325378,0.33015115354017505,1257,False,False,False,biz,,,,False,False,True,False,,1,12,,0,35,0,0,,,,2,False,False,False
/Users/ketian/Desktop/alexa10k/1000mg.jp,3,WordPress 3.5.2,5,False,False,False,1,True,False,,190.0,False,False,False,False,,,,,540.0,419,367,421,367,start,start,0.29196499602227527,0.3333333333333333,0.29196499602227527,0.3349244232299125,1257,False,False,False,biz,,,,True,False,True,False,,1,20,,0,45,0,0,,,,2,False,False,False
/Users/ketian/Desktop/alexa10k/1000mg.jp,4,WordPress 3.5.2,5,False,False,False,6,True,False,,200.0,False,False,False,False,,,,,200.0,16,15,1241,15,end,end,0.011933174224343675,0.012728719172633254,0.011933174224343675,0.9872712808273667,1257,True,False,False,jp,0,7,False,True,False,True,True,False,3,15,3,4,115,71,8,,,,4,False,False,False
/Users/ketian/Desktop/alexa10k/123movies.net,0,,1,False,False,False,1,True,False,,100.0,False,False,False,False,,,,,100.0,333,322,336,322,start,start,0.25,0.25854037267080743,0.25,0.2608695652173913,1288,False,False,False,net,0,3,False,False,False,True,True,True,2,0,1,1,32,5,3,4,,5,6,True,False,True
/Users/ketian/Desktop/alexa10k/126.com,0,,3,False,False,False,,False,False,,,False,False,False,False,,,,,,524,140,526,140,start,start,0.0749063670411985,0.28036383092562867,0.0749063670411985,0.2814339218833601,1869,False,False,False,,,,,False,False,True,False,,0,5,,0,11,0,0,2,,3,4,True,False,True
/Users/ketian/Desktop/alexa10k/126.com,1,,3,False,False,False,,False,False,,0.0,True,False,False,True,,,,,0.0,529,145,531,145,start,start,0.07758159443552702,0.2830390583199572,0.07758159443552702,0.2841091492776886,1869,False,False,False,,,,,False,False,True,False,,0,5,,0,11,0,0,2,,3,4,True,False,True
/Users/ketian/Desktop/alexa10k/126.com,2,,3,False,False,False,,False,False,none,,False,False,True,True,,,,,,15,14,1854,14,end,end,0.00749063670411985,0.008025682182985553,0.00749063670411985,0.9919743178170144,1869,False,False,False,,,,,False,False,True,False,,0,5,,0,11,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/alexa10k/1kdailyprofit.biz,0,,1,False,False,False,1,True,False,,370.0,False,False,False,False,,,,,620.0,137,90,139,90,start,start,0.14173228346456693,0.215748031496063,0.14173228346456693,0.2188976377952756,635,False,False,False,co,,,,True,False,True,False,,1,9,,3,64,35,0,9,,10,11,True,False,True
/Users/ketian/Desktop/alexa10k/1tcafe.com,0,,1,False,False,False,,False,False,none,0.0,True,False,True,True,,,,,0.0,29,28,385,28,end,end,0.06763285024154589,0.07004830917874397,0.06763285024154589,0.9299516908212561,414,,,,,,,,,,False,,,,,,,,,,,,,1,False,False,False
/Users/ketian/Desktop/alexa10k/1v.to,0,,1,False,False,False,1,True,False,,90.0,False,False,False,False,,,,,728.0,2,1,12,1,end,start,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.8571428571428571,14,False,False,False,com,0,2,False,False,False,True,True,True,2,6,1,1,33,11,2,1,,2,3,True,False,True
/Users/ketian/Desktop/alexa10k/2ch-c.net,0,,1,False,False,False,2,True,False,,90.0,False,False,False,False,,,,,728.0,56,55,174,55,end,end,0.2391304347826087,0.24347826086956523,0.2391304347826087,0.7565217391304347,230,True,False,False,jp,0,7,False,True,False,True,True,False,3,15,3,4,116,72,8,5,,6,7,True,False,True
/Users/ketian/Desktop/alexa10k/2ch.net,0,,2,False,False,False,2,True,False,,250.0,False,False,False,False,,,,,300.0,43,34,49,34,end,start,0.3695652173913043,0.4673913043478261,0.3695652173913043,0.532608695652174,92,False,False,False,net,0,4,False,False,False,True,True,True,2,21,1,0,40,0,4,7,,8,9,True,False,True
