AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_letters_sub,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/home/cuckoo/labtools/iframe/c2f5d16df9b89f895352ba2018e6deb1279d1eaf46efb66df4048f96a7a1c607,8,,9,False,False,False,1,True,False,,200.0,False,False,False,False,,,,,200.0,,,83,,,,,,,0.5608108108108109,148,True,False,False,com,0,5,False,False,False,True,True,False,2,17,3,4,119,76,5,,,,24,False,False,False
/home/cuckoo/labtools/iframe/d079878dc3db09f475f37d24c122ff80dca1e8ab5b41b703a2c5b873092b139f,7,,8,False,False,False,1,True,False,,200.0,False,False,False,False,,,,,200.0,,,65,,,,,,,0.5,130,True,False,False,com,0,5,False,False,False,True,True,False,2,17,3,4,120,77,5,,,,24,False,False,False
/home/cuckoo/labtools/iframe/e2551abc4f6e13c50783ebe08b9a9a9f9dbd0c013d29b44e2c8d31fcdf43d7bf,8,,9,False,False,False,1,True,False,,200.0,False,False,False,False,,,,,200.0,,,67,,,,,,,0.5075757575757576,132,True,False,False,com,0,5,False,False,False,True,True,False,2,17,3,4,120,77,5,,,,24,False,False,False
/home/cuckoo/labtools/iframe/c2f5d16df9b89f895352ba2018e6deb1279d1eaf46efb66df4048f96a7a1c607,6,,9,False,False,False,2,True,False,,1570.0,False,False,False,False,,,,,278.0,,,52,,,,,,,0.35135135135135137,148,False,False,False,com,,,,False,False,True,False,,1,11,,15,192,152,0,,,,23,False,False,False
/home/cuckoo/labtools/iframe/c2f5d16df9b89f895352ba2018e6deb1279d1eaf46efb66df4048f96a7a1c607,7,,9,False,False,False,2,True,False,,210.0,False,False,False,False,,,,,814.0,,,54,,,,,,,0.36486486486486486,148,False,False,False,com,,,,False,False,True,False,,1,11,,10,104,64,0,,,,23,False,False,False
/home/cuckoo/labtools/iframe/d079878dc3db09f475f37d24c122ff80dca1e8ab5b41b703a2c5b873092b139f,6,,8,False,False,False,1,True,False,,1031.0,False,False,False,False,,,,,194.0,,,31,,,,,,,0.23846153846153847,130,False,False,False,com,,,,False,False,True,False,,1,11,,10,105,65,0,,,,23,False,False,False
/home/cuckoo/labtools/iframe/e2551abc4f6e13c50783ebe08b9a9a9f9dbd0c013d29b44e2c8d31fcdf43d7bf,6,,9,False,False,False,2,True,False,,1580.0,False,False,False,False,,,,,144.0,,,36,,,,,,,0.2727272727272727,132,False,False,False,com,,,,False,False,True,False,,1,11,,10,104,64,0,,,,23,False,False,False
/home/cuckoo/labtools/iframe/e2551abc4f6e13c50783ebe08b9a9a9f9dbd0c013d29b44e2c8d31fcdf43d7bf,7,,9,False,False,False,2,True,False,,222.0,False,False,False,False,,,,,948.0,,,38,,,,,,,0.2878787878787879,132,False,False,False,com,,,,False,False,True,False,,1,11,,11,112,72,0,,,,23,False,False,False
/home/cuckoo/labtools/iframe/aad5053fba9dc02e2dafb8017d08d3b22124fe0e36f6124bef9cf4834940eccd,0,,1,False,False,False,1,True,False,,0.0,True,False,False,True,,,,,0.0,1,0,283,0,end,end,0.0,0.0035211267605633804,0.0,0.9964788732394366,284,False,False,False,com,0,5,False,False,False,True,True,True,2,6,1,0,35,0,5,,,,1,False,False,False
/home/cuckoo/labtools/iframe/990863b3d86ecd2733911e70de5f3aae5cf41b54c026b184c7a6db56201e6370,1,,2,False,False,False,2,True,False,,10.0,False,False,True,True,0.0,absolute,0.0,hidden,10.0,,,65,,,,,,,1.0,65,False,False,False,cc,0,8,False,True,False,True,True,False,2,11,3,0,33,0,8,,,,1,False,False,False
/home/cuckoo/labtools/iframe/d532c0700e0c2bfa03b0552649bc765a2abd8bc642f86bafecf0f446406be731,0,,2,False,False,False,1,True,False,,250.0,False,True,False,True,-500.0,absolute,-500.0,,250.0,46,1,48,1,start,start,0.002881844380403458,0.13256484149855907,0.002881844380403458,0.138328530259366,347,False,False,False,com,0,12,False,True,False,True,True,False,2,15,3,0,57,0,12,,,,2,False,False,False
/home/cuckoo/labtools/iframe/d532c0700e0c2bfa03b0552649bc765a2abd8bc642f86bafecf0f446406be731,1,,2,False,False,False,1,True,False,,250.0,False,True,False,True,-500.0,absolute,-500.0,,250.0,46,1,48,1,start,start,0.002881844380403458,0.13256484149855907,0.002881844380403458,0.138328530259366,347,False,False,False,com,,,,True,False,True,False,,2,12,,0,38,0,0,,,,2,False,False,False
/home/cuckoo/labtools/iframe/3b449ea1903f42e9542f80a1e0ec62cc48322a5a9a3327fea37bfd30d3bfc127,0,,1,False,False,False,1,True,False,,0.0,True,False,False,True,,,,,0.0,1,31,1,1,start,start,0.010869565217391304,0.010869565217391304,0.33695652173913043,0.010869565217391304,92,False,False,False,fr,,,,True,False,True,False,,1,19,,0,37,0,0,,,,1,False,False,False
/home/cuckoo/labtools/iframe/cd3c1655d7a705e72ddafa7844c72615cb899b03338bf26a5e5f1c5add0f1a50,2,,3,True,True,True,1,True,False,,0.0,True,False,False,True,,,,,0.0,7,0,8,0,start,start,0.0,0.21212121212121213,0.0,0.24242424242424243,33,False,False,False,com,,,,True,False,True,False,,1,9,,0,31,0,0,1,,2,3,True,False,True
/home/cuckoo/labtools/iframe/a03498fd2774a2e1ba21adccdf5930bc62f3b9f91558c46f9cf912c4c8d4a133,0,WordPress 3.3.2Headlines 2.10.0WooFramework 4.2.1,6,False,False,False,2,True,False,,2.0,True,False,False,True,,,,,2.0,84,3,86,3,start,start,0.0038363171355498722,0.10741687979539642,0.0038363171355498722,0.10997442455242967,782,False,False,False,com.vn,,,,True,False,True,False,,3,26,,0,51,0,0,,2,3,4,False,True,True
/home/cuckoo/labtools/iframe/a03498fd2774a2e1ba21adccdf5930bc62f3b9f91558c46f9cf912c4c8d4a133,1,WordPress 3.3.2Headlines 2.10.0WooFramework 4.2.1,6,False,False,False,2,True,False,,2.0,True,False,False,True,,,,,2.0,84,3,86,3,start,start,0.0038363171355498722,0.10741687979539642,0.0038363171355498722,0.10997442455242967,782,False,False,False,com.vn,,,,True,False,True,False,,3,26,,0,51,0,0,,2,3,4,False,True,True
/home/cuckoo/labtools/iframe/0d81b19ef6469869ee7764752aa66abd065501da01848dfcf075bbb606e223c0,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/0f14a21ac6332d378ed4bef437fd459314075936806bc84cf92b28ab7998032e,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/0f4f554bd5f9e3b4827671fcf4df80eb3828c13ffb8389eb7729b8643eba81f0,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/10207a9a4fc6068dcdaf711eacc2ac7ef9e17a4ba9240efb89123e993a516a7a,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/23c64b40abc13ce4eeeb45e69b8e39e1db6b2119d3a1baf22b194d55c048fb15,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/2b2a3a1193ca49819ead4d7e2168c72b756085e04123e63e9de6fb2a407e0292,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/45148900f8951eccaf7d2ecf03bf0977e1bf415ccecb3a2c6f6bb4b12cadd163,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/47bc0e2a87d10e239b15b89be907e432e7ea10d633577867ba7d48215717549c,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,182,11,end,end,0.05699481865284974,0.05699481865284974,0.05699481865284974,0.9430051813471503,193,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/home/cuckoo/labtools/iframe/6120f7b9dde982c73a4b751d0a82c22816fbcd7127101085923a1109e6bf1272,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
