AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_digits_webname,s_count_of_letters_sub,s_count_of_letters_webname,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/Users/ketian/Desktop/martin/martinIframe/0267c85a6cd2281aeeb79e8ca1ed628fe471dad40571799d3c2fec959a0efa9a,0,,1,False,False,False,1,True,False,,10.0,False,False,True,True,0.0,absolute,0.0,hidden,10.0,,,101,,,,,,,1.0,101,False,False,False,ru,,0,,9,,True,False,True,False,,1,11,,0,29,0,0,,,,3,False,False,False
/Users/ketian/Desktop/martin/martinIframe/092dc6c3fffda31e03cc2b77f53a4700182a3e57c7c93a523ffb7c011867d335,0,,1,False,False,False,1,True,False,none,,False,False,True,True,,,,hidden,,0,5,2,0,start,start,0.0,0.0,0.21739130434782608,0.08695652173913043,23,True,False,False,com,,0,,14,,True,False,True,False,,2,12,,1,78,41,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/0be432a251b7743d2ef0c7c59822cf3f54f08101e78084da56c8800b444786c6,0,,1,False,False,False,1,True,False,,1.0,True,False,True,True,,absolute,,hidden,1.0,2,1,140,1,end,end,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.9859154929577465,142,False,False,False,net,,0,,10,,False,False,True,False,,1,0,,1,32,12,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/0d81b19ef6469869ee7764752aa66abd065501da01848dfcf075bbb606e223c0,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/0f14a21ac6332d378ed4bef437fd459314075936806bc84cf92b28ab7998032e,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/0f4f554bd5f9e3b4827671fcf4df80eb3828c13ffb8389eb7729b8643eba81f0,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/10207a9a4fc6068dcdaf711eacc2ac7ef9e17a4ba9240efb89123e993a516a7a,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/160003f6d803932abc0fea1b5d74792aa3f7e2061c034177a3663baf9c7a3161,0,,1,False,False,True,1,True,False,,2.0,True,False,False,True,,,,,2.0,0,0,424,0,end,start,0.0,0.0,0.0,0.9929742388758782,427,False,False,False,com,,2,,10,,True,False,True,False,,1,9,,1,40,9,0,,2,1,4,False,True,True
/Users/ketian/Desktop/martin/martinIframe/19eadee65ec65ab6b1f3668bacc3df028daf78788d0941252be76091948a087d,0,Discuz! 7.2,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,2034,1,end,end,0.0004911591355599214,0.0009823182711198428,0.0004911591355599214,0.9990176817288802,2036,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/1e148ec079e945476df934f700f7da4251328d797b372e00a43f911676cf4cb9,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,144,1,end,end,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.9863013698630136,146,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
